Matrix of values from data file Obj_mmNew_340A.POU
  ZMin:   1.0600E+03    RMin:   0.0000E+00
  ZMax:   1.0900E+03    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz        Br
=============================================================================
   1075.840  0.0000E+00     3.9500E-02  3.9500E-02  4.0925E-06
   1075.900  0.0000E+00     3.7966E-02  3.7966E-02 -1.3205E-06
   1075.960  0.0000E+00     3.6303E-02  3.6303E-02 -1.7350E-07
   1076.020  0.0000E+00     3.4644E-02  3.4644E-02  9.7125E-07
   1076.080  0.0000E+00     3.3119E-02  3.3119E-02 -1.4900E-07
   1076.140  0.0000E+00     3.1438E-02  3.1438E-02 -6.9814E-07
   1076.200  0.0000E+00     2.9760E-02  2.9760E-02 -1.2462E-06
   1076.260  0.0000E+00     2.8248E-02  2.8248E-02  2.3796E-06
   1076.320  0.0000E+00     2.6647E-02  2.6647E-02  2.2537E-07
   1076.380  0.0000E+00     2.5042E-02  2.5042E-02 -1.9331E-06
   1076.440  0.0000E+00     2.3441E-02  2.3441E-02 -4.0873E-06
   1076.500  0.0000E+00     2.2097E-02  2.2097E-02  2.0962E-06
   1076.560  0.0000E+00     2.0650E-02  2.0650E-02 -1.3901E-06
   1076.620  0.0000E+00     1.9207E-02  1.9207E-02 -4.8695E-06
   1076.680  0.0000E+00     1.7948E-02  1.7948E-02  3.8937E-06
   1076.740  0.0000E+00     1.6709E-02  1.6709E-02 -1.6231E-07
   1076.800  0.0000E+00     1.5472E-02  1.5472E-02 -4.2102E-06
   1076.860  0.0000E+00     1.4316E-02  1.4316E-02  5.6841E-06
   1076.920  0.0000E+00     1.3305E-02  1.3305E-02  1.5282E-06
   1076.980  0.0000E+00     1.2296E-02  1.2296E-02 -2.6195E-06
   1077.040  0.0000E+00     1.1286E-02  1.1286E-02 -6.7671E-06
   1077.100  0.0000E+00     1.0454E-02  1.0454E-02  2.7613E-06
   1077.160  0.0000E+00     9.6624E-03  9.6624E-03 -1.0146E-06
   1077.220  0.0000E+00     8.8709E-03  8.8709E-03 -4.7905E-06
   1077.280  0.0000E+00     8.1522E-03  8.1522E-03  3.4333E-06
   1077.340  0.0000E+00     7.5512E-03  7.5512E-03  2.3586E-07
   1077.400  0.0000E+00     6.9501E-03  6.9501E-03 -2.9616E-06
   1077.460  0.0000E+00     6.3439E-03  6.3439E-03  3.6788E-06
   1077.520  0.0000E+00     5.9005E-03  5.9005E-03  1.1183E-06
   1077.580  0.0000E+00     5.4570E-03  5.4570E-03 -1.4421E-06
   1077.640  0.0000E+00     5.0136E-03  5.0136E-03 -4.0025E-06
   1077.700  0.0000E+00     4.6362E-03  4.6362E-03  1.5010E-06
   1077.760  0.0000E+00     4.3147E-03  4.3147E-03 -4.3027E-07
   1077.820  0.0000E+00     3.9931E-03  3.9931E-03 -2.3616E-06
   1077.880  0.0000E+00     3.6880E-03  3.6880E-03  1.6332E-06
   1077.940  0.0000E+00     3.4584E-03  3.4584E-03  1.8619E-07
   1078.000  0.0000E+00     3.2287E-03  3.2287E-03 -1.2608E-06
   1078.060  0.0000E+00     2.9845E-03  2.9845E-03  1.4998E-06
   1078.120  0.0000E+00     2.8216E-03  2.8216E-03  4.7284E-07
   1078.180  0.0000E+00     2.6587E-03  2.6587E-03 -5.5413E-07
   1078.240  0.0000E+00     2.4955E-03  2.4955E-03 -1.5831E-06
   1078.300  0.0000E+00     2.3536E-03  2.3536E-03  5.7835E-07
   1078.360  0.0000E+00     2.2380E-03  2.2380E-03 -1.4441E-07
   1078.420  0.0000E+00     2.1221E-03  2.1221E-03 -8.6860E-07
   1078.480  0.0000E+00     2.0093E-03  2.0093E-03  5.7907E-07
   1078.540  0.0000E+00     1.9269E-03  1.9269E-03  7.4556E-08
   1078.600  0.0000E+00     1.8443E-03  1.8443E-03 -4.3096E-07
   1078.660  0.0000E+00     1.7556E-03  1.7556E-03  5.0824E-07
   1078.720  0.0000E+00     1.6961E-03  1.6961E-03  1.6227E-07
   1078.780  0.0000E+00     1.6364E-03  1.6364E-03 -1.8439E-07
   1078.840  0.0000E+00     1.5768E-03  1.5768E-03 -5.3037E-07
   1078.900  0.0000E+00     1.5239E-03  1.5239E-03  1.9482E-07
   1078.960  0.0000E+00     1.4802E-03  1.4802E-03 -4.6542E-08
   1079.020  0.0000E+00     1.4364E-03  1.4364E-03 -2.8839E-07
   1079.080  0.0000E+00     1.3936E-03  1.3936E-03  1.8965E-07
   1079.140  0.0000E+00     1.3609E-03  1.3609E-03  2.2260E-08
   1079.200  0.0000E+00     1.3281E-03  1.3281E-03 -1.4546E-07
   1079.260  0.0000E+00     1.2937E-03  1.2937E-03  1.7189E-07
   1079.320  0.0000E+00     1.2686E-03  1.2686E-03  5.4430E-08
   1079.380  0.0000E+00     1.2436E-03  1.2436E-03 -6.3266E-08
   1079.440  0.0000E+00     1.2185E-03  1.2185E-03 -1.8073E-07
   1079.500  0.0000E+00     1.1960E-03  1.1960E-03  6.8053E-08
   1079.560  0.0000E+00     1.1764E-03  1.1764E-03 -1.6595E-08
   1079.620  0.0000E+00     1.1568E-03  1.1568E-03 -1.0107E-07
   1079.680  0.0000E+00     1.1378E-03  1.1378E-03  6.7029E-08
   1079.740  0.0000E+00     1.1221E-03  1.1221E-03  6.2582E-09
   1079.800  0.0000E+00     1.1064E-03  1.1064E-03 -5.4392E-08
   1079.860  0.0000E+00     1.0903E-03  1.0903E-03  6.5358E-08
   1079.920  0.0000E+00     1.0775E-03  1.0775E-03  2.0556E-08
   1079.980  0.0000E+00     1.0647E-03  1.0647E-03 -2.4157E-08
   1080.040  0.0000E+00     1.0519E-03  1.0519E-03 -6.8869E-08
   1080.100  0.0000E+00     1.0401E-03  1.0401E-03  2.5938E-08
   1080.160  0.0000E+00     1.0294E-03  1.0294E-03 -7.1101E-09
   1080.220  0.0000E+00     1.0187E-03  1.0187E-03 -4.0158E-08
   1080.280  0.0000E+00     1.0083E-03  1.0083E-03  2.7214E-08
   1080.340  0.0000E+00     9.9918E-04  9.9918E-04  2.1186E-09
   1080.400  0.0000E+00     9.9004E-04  9.9004E-04 -2.2927E-08
   1080.460  0.0000E+00     9.8080E-04  9.8080E-04  2.7834E-08
   1080.520  0.0000E+00     9.7286E-04  9.7286E-04  8.5626E-09
   1080.580  0.0000E+00     9.6492E-04  9.6492E-04 -1.0670E-08
   1080.640  0.0000E+00     9.5699E-04  9.5699E-04 -2.9903E-08
   1080.700  0.0000E+00     9.4955E-04  9.4955E-04  1.1169E-08
   1080.760  0.0000E+00     9.4253E-04  9.4253E-04 -3.4163E-09
   1080.820  0.0000E+00     9.3551E-04  9.3551E-04 -1.8002E-08
