      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   2.92500       0.00000      1.103495E-07  0.000000E+00  1.103495E-07  0.000000E+00
   2.94000       0.00000      1.041324E-07  0.000000E+00  1.041324E-07  0.000000E+00
   2.95500       0.00000      9.943074E-08  0.000000E+00  9.943074E-08  0.000000E+00
   2.97000       0.00000      9.596111E-08  0.000000E+00  9.596111E-08  0.000000E+00
   2.98500       0.00000      9.391397E-08  0.000000E+00  9.391397E-08  0.000000E+00
   3.00000       0.00000      9.324645E-08  0.000000E+00  9.324645E-08  0.000000E+00
   0.00000      5.000000E-03  3.019763E+00  0.000000E+00  3.019763E+00  4.202503E+00
  1.500000E-02  5.000000E-03  3.019945E+00 -6.080695E-05  3.019945E+00  4.202757E+00
  3.000000E-02  5.000000E-03  3.020483E+00 -1.204272E-04  3.020483E+00  4.203505E+00
  4.500000E-02  5.000000E-03  3.021394E+00 -1.798617E-04  3.021394E+00  4.204773E+00
  6.000000E-02  5.000000E-03  3.022645E+00 -2.369911E-04  3.022645E+00  4.206513E+00
  7.500000E-02  5.000000E-03  3.024205E+00 -2.913517E-04  3.024205E+00  4.208681E+00
  9.000000E-02  5.000000E-03  3.026072E+00 -3.427087E-04  3.026072E+00  4.211275E+00
  0.105000      5.000000E-03  3.028226E+00 -3.906662E-04  3.028226E+00  4.214267E+00
  0.120000      5.000000E-03  3.030701E+00 -4.343011E-04  3.030701E+00  4.217711E+00
  0.135000      5.000000E-03  3.033358E+00 -4.713790E-04  3.033358E+00  4.221403E+00
  0.150000      5.000000E-03  3.036214E+00 -5.027937E-04  3.036214E+00  4.225368E+00
  0.165000      5.000000E-03  3.039225E+00 -5.280234E-04  3.039225E+00  4.229549E+00
  0.180000      5.000000E-03  3.042447E+00 -5.459516E-04  3.042447E+00  4.234032E+00
  0.195000      5.000000E-03  3.045643E+00 -5.526163E-04  3.045643E+00  4.238468E+00
  0.210000      5.000000E-03  3.048842E+00 -5.501251E-04  3.048842E+00  4.242906E+00
  0.225000      5.000000E-03  3.051978E+00 -5.377663E-04  3.051978E+00  4.247255E+00
  0.240000      5.000000E-03  3.055134E+00 -5.140782E-04  3.055134E+00  4.251646E+00
  0.255000      5.000000E-03  3.057938E+00 -4.727586E-04  3.057938E+00  4.255531E+00
  0.270000      5.000000E-03  3.060442E+00 -4.174418E-04  3.060442E+00  4.258995E+00
  0.285000      5.000000E-03  3.062543E+00 -3.471184E-04  3.062543E+00  4.261895E+00
  0.300000      5.000000E-03  3.064364E+00 -2.597654E-04  3.064364E+00  4.264429E+00
  0.315000      5.000000E-03  3.065346E+00 -1.457919E-04  3.065346E+00  4.265768E+00
  0.330000      5.000000E-03  3.065568E+00 -1.091383E-05  3.065568E+00  4.266046E+00
  0.345000      5.000000E-03  3.064876E+00  1.463131E-04  3.064876E+00  4.265048E+00
  0.360000      5.000000E-03  3.063451E+00  3.287508E-04  3.063451E+00  4.263065E+00
  0.375000      5.000000E-03  3.060467E+00  5.505866E-04  3.060467E+00  4.258873E+00
  0.390000      5.000000E-03  3.056043E+00  8.030944E-04  3.056043E+00  4.252671E+00
  0.405000      5.000000E-03  3.049957E+00  1.088255E-03  3.049957E+00  4.244150E+00
  0.420000      5.000000E-03  3.042462E+00  1.409958E-03  3.042463E+00  4.233720E+00
  0.435000      5.000000E-03  3.032375E+00  1.788371E-03  3.032376E+00  4.219625E+00
  0.450000      5.000000E-03  3.019872E+00  2.210201E-03  3.019873E+00  4.202162E+00
  0.465000      5.000000E-03  3.004649E+00  2.677758E-03  3.004650E+00  4.180906E+00
  0.480000      5.000000E-03  2.987029E+00  3.195419E-03  2.987031E+00  4.156386E+00
  0.495000      5.000000E-03  2.965427E+00  3.789431E-03  2.965430E+00  4.126249E+00
  0.510000      5.000000E-03  2.940109E+00  4.439437E-03  2.940112E+00  4.090935E+00
  0.525000      5.000000E-03  2.910702E+00  5.146795E-03  2.910707E+00  4.049930E+00
  0.540000      5.000000E-03  2.877522E+00  5.913391E-03  2.877528E+00  4.003754E+00
  0.555000      5.000000E-03  2.838793E+00  6.766569E-03  2.838802E+00  3.949778E+00
  0.570000      5.000000E-03  2.794890E+00  7.676000E-03  2.794900E+00  3.888605E+00
  0.585000      5.000000E-03  2.745482E+00  8.638561E-03  2.745496E+00  3.819787E+00
  0.600000      5.000000E-03  2.690629E+00  9.645971E-03  2.690646E+00  3.743450E+00
  0.615000      5.000000E-03  2.629214E+00  1.071096E-02  2.629236E+00  3.657941E+00
  0.630000      5.000000E-03  2.561637E+00  1.179499E-02  2.561664E+00  3.563886E+00
  0.645000      5.000000E-03  2.487864E+00  1.288575E-02  2.487898E+00  3.461247E+00
  0.660000      5.000000E-03  2.407339E+00  1.395598E-02  2.407380E+00  3.349184E+00
  0.675000      5.000000E-03  2.321145E+00  1.498095E-02  2.321194E+00  3.229303E+00
  0.690000      5.000000E-03  2.229391E+00  1.593433E-02  2.229448E+00  3.101733E+00
  0.705000      5.000000E-03  2.132598E+00  1.679777E-02  2.132664E+00  2.967197E+00
  0.720000      5.000000E-03  2.029605E+00  1.753325E-02  2.029681E+00  2.823867E+00
  0.735000      5.000000E-03  1.924552E+00  1.807849E-02  1.924637E+00  2.677877E+00
  0.750000      5.000000E-03  1.816834E+00  1.846013E-02  1.816927E+00  2.528207E+00
  0.765000      5.000000E-03  1.707453E+00  1.867114E-02  1.707555E+00  2.376236E+00
  0.780000      5.000000E-03  1.595356E+00  1.869470E-02  1.595465E+00  2.220235E+00
  0.795000      5.000000E-03  1.485932E+00  1.847280E-02  1.486047E+00  2.068198E+00
  0.810000      5.000000E-03  1.377984E+00  1.809066E-02  1.378102E+00  1.918191E+00
  0.825000      5.000000E-03  1.272482E+00  1.756093E-02  1.272603E+00  1.771552E+00
  0.840000      5.000000E-03  1.169099E+00  1.689986E-02  1.169221E+00  1.627681E+00
  0.855000      5.000000E-03  1.071342E+00  1.608661E-02  1.071463E+00  1.491776E+00
  0.870000      5.000000E-03  9.781923E-01  1.520405E-02  9.783104E-01  1.362236E+00
  0.885000      5.000000E-03  8.901232E-01  1.426893E-02  8.902376E-01  1.239722E+00
  0.900000      5.000000E-03  8.073978E-01  1.330621E-02  8.075075E-01  1.124598E+00
  0.915000      5.000000E-03  7.305869E-01  1.232320E-02  7.306908E-01  1.017713E+00
  0.930000      5.000000E-03  6.593557E-01  1.135398E-02  6.594535E-01  9.185608E-01
  0.945000      5.000000E-03  5.936695E-01  1.040705E-02  5.937607E-01  8.271024E-01
  0.960000      5.000000E-03  5.339546E-01  9.497922E-03  5.340390E-01  7.440003E-01
  0.975000      5.000000E-03  4.789933E-01  8.642517E-03  4.790712E-01  6.674514E-01
  0.990000      5.000000E-03  4.289739E-01  7.834796E-03  4.290454E-01  5.977708E-01
   1.00500      5.000000E-03  3.836114E-01  7.076098E-03  3.836767E-01  5.345670E-01
   1.02000      5.000000E-03  3.432660E-01  6.372356E-03  3.433252E-01  4.784205E-01
   1.03500      5.000000E-03  3.062758E-01  5.738190E-03  3.063295E-01  4.268679E-01
   1.05000      5.000000E-03  2.730080E-01  5.152426E-03  2.730567E-01  3.804985E-01
   1.06500      5.000000E-03  2.431448E-01  4.613478E-03  2.431886E-01  3.388714E-01
   1.08000      5.000000E-03  2.169368E-01  4.122511E-03  2.169760E-01  3.023992E-01
   1.09500      5.000000E-03  1.929488E-01  3.690364E-03  1.929841E-01  2.689538E-01
   1.11000      5.000000E-03  1.715252E-01  3.295797E-03  1.715569E-01  2.390831E-01
   1.12500      5.000000E-03  1.524078E-01  2.936759E-03  1.524361E-01  2.124279E-01
   1.14000      5.000000E-03  1.357591E-01  2.612802E-03  1.357843E-01  1.892588E-01
   1.15500      5.000000E-03  1.205323E-01  2.331291E-03  1.205548E-01  1.680236E-01
   1.17000      5.000000E-03  1.069870E-01  2.075838E-03  1.070072E-01  1.491340E-01
   1.18500      5.000000E-03  9.494002E-02  1.844762E-03  9.495794E-02  1.323344E-01
   1.20000      5.000000E-03  8.449377E-02  1.637321E-03  8.450963E-02  1.177969E-01
   1.21500      5.000000E-03  7.494306E-02  1.458317E-03  7.495725E-02  1.044758E-01
   1.23000      5.000000E-03  6.646573E-02  1.296415E-03  6.647837E-02  9.265242E-02
   1.24500      5.000000E-03  5.893986E-02  1.150429E-03  5.895109E-02  8.215671E-02
   1.26000      5.000000E-03  5.242940E-02  1.019723E-03  5.243932E-02  7.309645E-02
   1.27500      5.000000E-03  4.647812E-02  9.073682E-04  4.648698E-02  6.479510E-02
   1.29000      5.000000E-03  4.120200E-02  8.059252E-04  4.120989E-02  5.743606E-02
   1.30500      5.000000E-03  3.652273E-02  7.146109E-04  3.652972E-02  5.090996E-02
   1.32000      5.000000E-03  3.247999E-02  6.329673E-04  3.248616E-02  4.528391E-02
   1.33500      5.000000E-03  2.878480E-02  5.629352E-04  2.879031E-02  4.012934E-02
   1.35000      5.000000E-03  2.551096E-02  4.997639E-04  2.551585E-02  3.556289E-02
   1.36500      5.000000E-03  2.260902E-02  4.429519E-04  2.261336E-02  3.151551E-02
   1.38000      5.000000E-03  2.010359E-02  3.921918E-04  2.010741E-02  2.802883E-02
   1.39500      5.000000E-03  1.781364E-02  3.487030E-04  1.781705E-02  2.483442E-02
   1.41000      5.000000E-03  1.578552E-02  3.094943E-04  1.578855E-02  2.200549E-02
   1.42500      5.000000E-03  1.398831E-02  2.742499E-04  1.399100E-02  1.949887E-02
   1.44000      5.000000E-03  1.243725E-02  2.427699E-04  1.243962E-02  1.734034E-02
   1.45500      5.000000E-03  1.101962E-02  2.158183E-04  1.102173E-02  1.536277E-02
   1.47000      5.000000E-03  9.764316E-03  1.915257E-04  9.766195E-03  1.361179E-02
   1.48500      5.000000E-03  8.652113E-03  1.696949E-04  8.653777E-03  1.206055E-02
   1.50000      5.000000E-03  7.692434E-03  1.501982E-04  7.693900E-03  1.072502E-02
   1.51500      5.000000E-03  6.815318E-03  1.335133E-04  6.816626E-03  9.501446E-03
   1.53000      5.000000E-03  6.038717E-03  1.184767E-04  6.039879E-03  8.418188E-03
